delito,diasem,mes,tipov,longitud,latitud
1,3,1,1,2,-71.3642786,-33.0660092
2,3,1,4,1,-71.4492833,-32.5063284
3,3,1,5,1,-71.2441518,-32.8852472
4,3,1,5,4,-71.5444143,-32.9584665
5,3,1,6,1,-71.6073115,-33.5640877
6,3,1,8,1,-71.5469288,-33.0221567
7,3,1,9,3,-71.5860601,-33.0336301
8,3,1,11,5,-71.3343062,-33.1520319
9,3,1,13,1,-71.5782502,-33.0302751
10,3,1,22,2,-71.5182533,-33.0364722
11,4,1,0,1,-71.6051269,-33.5483759
12,5,1,2,1,-71.5997841,-33.5396317
13,5,1,4,1,-71.5269808,-32.9873119
14,5,1,10,2,-71.5346155,-32.9792861
15,5,1,10,1,-71.5624516,-33.0200038
16,5,1,18,1,-71.5462916,-32.9328995
17,5,1,18,1,-71.2441518,-32.8852472
18,5,1,21,1,-71.5525518,-33.0149807
19,5,1,22,1,-71.605043,-33.5536616
20,5,1,22,6,-71.476582,-32.9970612
21,6,1,4,1,-71.4219126,-33.0567738
22,6,1,4,1,-70.599434,-32.8350955
23,6,1,4,1,-71.6150984,-33.0525158
24,6,1,6,1,-71.4335837,-33.05788
25,6,1,14,5,-71.4656356,-33.0498432
26,6,1,23,1,-71.3772441,-33.0525245
27,7,1,0,1,-71.4118663,-33.0362713
28,7,1,0,1,-71.3740035,-33.0504243
29,7,1,1,1,-71.6204901,-33.045658
30,7,1,2,1,-71.5521136,-33.009839
31,7,1,3,1,-71.5941717,-33.6176516
32,7,1,3,1,-71.2686263,-32.9826786
33,7,1,5,1,-71.6107219,-33.6083286
34,7,1,5,1,-71.5637636,-33.0446705
35,7,1,7,1,-71.4446407,-33.0452702
36,7,1,16,5,-71.6920798,-33.3969357
37,7,1,20,1,-71.6546116,-33.450701
38,7,1,21,1,-71.5224352,-32.9921268
39,1,1,1,1,-71.6049272,-33.0547969
40,1,1,1,1,-71.5671464,-33.0237032
41,1,1,2,6,-71.6085924,-33.6225052
42,1,1,2,6,-71.6085924,-33.6225052
43,1,1,4,1,-71.3944347,-33.0608258
44,1,1,7,1,-71.4019394,-33.0417203
45,1,1,10,1,-71.6945532,-33.3983127
46,1,1,12,1,-71.5473481,-33.0197719
47,1,1,19,1,-71.4940572,-32.9968213
48,1,1,19,1,-71.4501889,-33.0497193
49,1,1,21,6,-71.6174759,-33.0468573
50,1,1,22,1,-71.5694837,-33.0653505
51,1,1,22,2,-71.4634321,-33.0443537
52,1,1,22,3,-71.5359278,-32.9390033
53,2,1,0,1,-71.4921696,-33.0212219
54,2,1,6,4,-71.5106201,-33.023967
55,2,1,6,2,-71.3528039,-33.0372859
